timestamp_machine,timestamp_google,rr,device,dateTime
1646146609532,1646146609516,816,ED:68:09:2B:C6:5F,2022-03-01 15:56:49
1646146609532,1646146609516,803,ED:68:09:2B:C6:5F,2022-03-01 15:56:49
1646146609560,1646146609543,804,ED:68:09:2B:C6:5F,2022-03-01 15:56:49
1646146610457,1646146610440,791,ED:68:09:2B:C6:5F,2022-03-01 15:56:50
1646146610466,1646146610450,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:50
1646146610466,1646146610450,799,ED:68:09:2B:C6:5F,2022-03-01 15:56:50
1646146610476,1646146610459,792,ED:68:09:2B:C6:5F,2022-03-01 15:56:50
1646146614513,1646146614496,799,ED:68:09:2B:C6:5F,2022-03-01 15:56:54
1646146615445,1646146615428,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:55
1646146615461,1646146615444,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:55
1646146615461,1646146615444,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:55
1646146616441,1646146616424,791,ED:68:09:2B:C6:5F,2022-03-01 15:56:56
1646146617438,1646146617421,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:57
1646146617447,1646146617431,760,ED:68:09:2B:C6:5F,2022-03-01 15:56:57
1646146617447,1646146617431,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:57
1646146617458,1646146617441,760,ED:68:09:2B:C6:5F,2022-03-01 15:56:57
1646146618437,1646146618421,771,ED:68:09:2B:C6:5F,2022-03-01 15:56:58
1646146619434,1646146619417,780,ED:68:09:2B:C6:5F,2022-03-01 15:56:59
1646146619434,1646146619417,807,ED:68:09:2B:C6:5F,2022-03-01 15:56:59
1646146620434,1646146620416,816,ED:68:09:2B:C6:5F,2022-03-01 15:57:00
1646146622427,1646146622410,835,ED:68:09:2B:C6:5F,2022-03-01 15:57:02
1646146622438,1646146622421,832,ED:68:09:2B:C6:5F,2022-03-01 15:57:02
1646146623425,1646146623407,839,ED:68:09:2B:C6:5F,2022-03-01 15:57:03
1646146623425,1646146623407,836,ED:68:09:2B:C6:5F,2022-03-01 15:57:03
1646146624421,1646146624405,839,ED:68:09:2B:C6:5F,2022-03-01 15:57:04
1646146630469,1646146630452,844,ED:68:09:2B:C6:5F,2022-03-01 15:57:10
1646146630480,1646146630462,847,ED:68:09:2B:C6:5F,2022-03-01 15:57:10
1646146630490,1646146630473,844,ED:68:09:2B:C6:5F,2022-03-01 15:57:10
